ID,GeneName,GeneID,UniProtID,STRING_ID
2707,EAF2,55840,,9606.ENSP00000273668
2708,AHSG,197,P02765,9606.ENSP00000273784
2709,DGKQ,1609,,9606.ENSP00000273814
2710,CENPC,1060,,9606.ENSP00000273853
2711,CORIN,10699,,9606.ENSP00000273857
2712,ATP10D,57205,,9606.ENSP00000273859
2713,SLC10A6,345274,,9606.ENSP00000273905
2714,ENOPH1,58478,Q9UHY7,9606.ENSP00000273920
2715,CISD2,493856,,9606.ENSP00000273986
2716,AFG2A;SPATA5,166378,,9606.ENSP00000274008
2717,SPATA5,,,9606.ENSP00000274008
2718,FABP2,2169,P12104,9606.ENSP00000274024
2719,SETD7,80854,,9606.ENSP00000274031
2720,NAF1,92345,,9606.ENSP00000274054
2721,SFRP2,6423,,9606.ENSP00000274063
2722,GLRA3,8001,O75311,9606.ENSP00000274093
2723,NDUFS6,4726,,9606.ENSP00000274137
2724,MARCHF6,10299,,9606.ENSP00000274140
2725,ADAMTS16,170690,,9606.ENSP00000274181
2726,SRD5A1,6715,P18405,9606.ENSP00000274192
2727,RPL37,6167,,9606.ENSP00000274242
2728,SKP2,6502,,9606.ENSP00000274255
2729,OSMR,9180,,9606.ENSP00000274276
2730,PLK2,10769,Q9NYY3,9606.ENSP00000274289
2731,GZMA,3001,,9606.ENSP00000274306
2732,HAPLN1,1404,,9606.ENSP00000274341
2733,BHMT,635,Q93088,9606.ENSP00000274353
2734,IQGAP2,10788,,9606.ENSP00000274364
2735,CRHBP,1393,,9606.ENSP00000274368
2736,RASA1,5921,,9606.ENSP00000274376
2737,LIX1,167410,,9606.ENSP00000274382
2738,GTF2H2,2966,,9606.ENSP00000274400
2739,COMMD10,51397,,9606.ENSP00000274458
2740,ADAMTS19,171019,,9606.ENSP00000274487
2741,YIPF5,81555,,9606.ENSP00000274496
2742,ARHGAP26,23092,,9606.ENSP00000274498
2743,LECT2,3950,,9606.ENSP00000274507
2744,IL9,3578,,9606.ENSP00000274520
2745,TIMD4,91937,,9606.ENSP00000274532
2746,GABRA6,2559,Q16445,9606.ENSP00000274545
2747,GABRB2,2561,P47870,9606.ENSP00000274547
2748,SPINK7,84651,,9606.ENSP00000274565
2749,NHP2,55651,,9606.ENSP00000274606
2750,FGF18,8817,,9606.ENSP00000274625
2751,KCNMB1,3779,Q16558,9606.ENSP00000274629
2752,MYLK4,,Q86YV6,9606.ENSP00000274643
2753,CDKAL1,54901,,9606.ENSP00000274695
2754,GFRA3,2676,,9606.ENSP00000274721
2755,H2BC1,255626,,9606.ENSP00000274764
2756,TRIM7,81786,,9606.ENSP00000274773
2757,HIGD2A,192286,,9606.ENSP00000274787
2758,PLA2G7,7941,,9606.ENSP00000274793
2759,RNF44,22838,,9606.ENSP00000274811
2760,MMUT,4594,,9606.ENSP00000274813
2761,ABT1,29777,,9606.ENSP00000274849
2762,SCUBE3,222663,,9606.ENSP00000274938
